nic_id,username,mobile_number,bank_account,amount_transferred,transaction_datetime,location,ip_address,is_fraud
19522329717,user9065,0773881122,119457770704,143588.57,2026-02-09T04:09:19.867878,"Colombo, Sri Lanka",131.201.241.140,0
20051552697,user9493,0720226723,838916775327,405643.38,2025-11-22T08:21:39.867878,"Colombo, Sri Lanka",106.10.148.162,0
19962209216,user7109,0723373083,323223028475,489378.94,2026-01-13T14:51:31.867878,"Colombo, Sri Lanka",99.172.214.157,0
19923453643,user2066,0724708370,650839465243,44475.39,2025-08-07T06:34:57.867878,"Colombo, Sri Lanka",194.7.158.180,0
19541649001,user9848,0778031466,880166527780,173355.96,2025-07-18T21:16:25.867878,"Colombo, Sri Lanka",156.144.186.76,0
19591706862,user4175,0746336671,473847986865,3867475.14,2026-05-16T19:11:32.867878,Unknown,1.95.204.252,1
19680025766,user2525,0718044057,666636420563,121552.21,2025-07-18T04:09:14.867878,"Colombo, Sri Lanka",82.171.49.248,0
19621511699,user6176,0711293865,591916318894,76872.27,2025-08-08T11:52:02.867878,"Colombo, Sri Lanka",243.212.155.37,0
20020896504,user9303,0754191544,413928907216,4249506.31,2025-12-28T13:04:15.867878,Unknown,46.74.105.28,1
19850916854,user2481,0771877276,614538314206,263075.94,2025-11-02T01:32:23.867878,"Colombo, Sri Lanka",237.157.106.37,0
19943118620,user9624,0743609570,960076885649,318363.02,2026-05-24T18:09:44.867878,"Colombo, Sri Lanka",6.171.126.37,0
19973576862,user5845,0794246688,321713292800,383525.77,2026-03-21T16:07:05.867878,"Colombo, Sri Lanka",15.251.26.35,0
19641683216,user7747,0758770909,578036844468,6906.16,2026-03-04T10:14:03.867878,"Colombo, Sri Lanka",51.112.189.30,0
20040134890,user1071,0783790561,506209923395,8738.21,2025-09-06T13:57:20.867878,"Colombo, Sri Lanka",133.84.32.135,0
19542839677,user5081,0742940450,530527113578,373079.56,2026-02-03T01:20:41.867878,"Colombo, Sri Lanka",11.26.175.133,0
19862635337,user4355,0761871812,951784929951,485520.21,2025-11-19T04:29:18.867878,"Colombo, Sri Lanka",170.61.201.5,0
20043532929,user8763,0782667046,123462749935,166574.6,2025-10-12T21:49:49.867878,"Colombo, Sri Lanka",102.248.188.96,0
19811716967,user2801,0785302681,615902483991,195676.69,2025-10-07T05:56:46.867878,"Colombo, Sri Lanka",26.62.253.163,0
19620428346,user3896,0764644897,547324891634,144778.04,2026-06-14T04:47:57.867878,"Colombo, Sri Lanka",9.240.145.148,0
19952086740,user1490,0760965348,854008560771,485101.27,2026-03-01T02:19:13.867878,"Colombo, Sri Lanka",55.52.46.87,0
